tranche_age,sexe,nb_observations,remboursement_total,remboursement_moyen,base_remboursement_moyenne,boites_totales,boites_moyennes
20 - 59 ANS,Inconnu,289,35925242.63,124308.79802768167,125489.17190311418,30017,103.86505190311419
60 ANS ET +,MASCULIN,412895,8924467690.86,21614.375787694207,23588.500436890736,570993682,1382.902873611935
60 ANS ET +,FEMININ,436308,7337964300.85,16818.312524294764,19068.060532078256,748740618,1716.0827167963912
0-19 ANS,Inconnu,568,8988308.39,15824.486602112676,16321.833063380282,26994,47.524647887323944
60 ANS ET +,Inconnu,283,4431495.13,15658.993392226148,15755.974381625441,13500,47.70318021201413
20 - 59 ANS,MASCULIN,344234,4362375013.86,12672.702329984837,14656.466024593736,340416350,988.9097241992372
20 - 59 ANS,FEMININ,405807,4759103916.82,11727.505727648859,13911.74523975683,491217092,1210.4697356132342
0-19 ANS,MASCULIN,123195,1073981457.66,8717.735765737245,11346.128214700271,85191123,691.5144526969439
Inconnu,Inconnu,1186,8556246.38,7214.373001686341,7341.8361635750425,45177,38.09190556492411
0-19 ANS,FEMININ,138263,917995077.89,6639.48473481698,8846.982781365947,89210083,645.2202179903518
Inconnu,FEMININ,5380,4821805.06,896.2462936802974,981.2252899628253,503459,93.57973977695167
Inconnu,MASCULIN,4647,3831591.67,824.530163546374,900.1675597159458,416901,89.71400903808909
