tranche_age,sexe,nb_observations,remboursement_total,remboursement_moyen,base_remboursement_moyenne,boites_totales,boites_moyennes
20 - 59 ANS,Inconnu,250,11022389.24,44089.55696,44299.21708,29724,118.896
60 ANS ET +,MASCULIN,419664,7537537102.67,17960.88561961474,19671.66553754909,562902103,1341.3161553051964
60 ANS ET +,FEMININ,443234,6537029166.58,14748.48311857845,16709.71584233159,752939706,1698.7408592301128
0-19 ANS,Inconnu,518,7065341.1,13639.654633204633,14170.529305019305,20869,40.28764478764479
60 ANS ET +,Inconnu,253,3200171.73,12648.900118577076,13034.536877470357,12225,48.3201581027668
20 - 59 ANS,MASCULIN,356608,4116218164.22,11542.697203147434,13272.574158011037,349235275,979.3254077306167
20 - 59 ANS,FEMININ,425426,4415032476.31,10377.909380973424,12299.295547145684,501361182,1178.4921043847814
Inconnu,Inconnu,2293,20985671.73,9152.059193196686,9478.298464893152,314649,137.22154382904492
0-19 ANS,MASCULIN,127974,964944089.12,7540.1572906996735,9563.88811805523,87971489,687.4168893681529
0-19 ANS,FEMININ,142799,817902334.59,5727.647494660327,7477.628237242558,90957724,636.9633120680116
Inconnu,FEMININ,3653,6752561.4799999995,1848.4975307966056,1909.6728825622777,360991,98.82042157131126
Inconnu,MASCULIN,3442,2386532.58,693.3563567693202,755.4029430563626,336890,97.87623474723998
