prescripteur,nb_observations,nb_medicaments,remboursement_total,remboursement_moyen,base_remboursement_moyenne,boites_totales,boites_moyennes
PRESCRIPTEURS SALARIES,387439,10916,10540076367.9,27204.479590077404,28950.209427006575,399362436,1030.7750020003148
OPHTALMOLOGIE LIBERALE,41336,2756,794022788.56,19208.989465840914,21121.553753628796,40775246,986.4342461776657
MEDECINE GENERALE LIBERALE,476655,11302,7719771306.46,16195.72081790813,20505.64787242345,1658910851,3480.317737147411
MEDECINE INTERNE LIBERALE,22737,2656,284394374.36,12507.99904824735,12634.315664335665,3834436,168.6430047939482
RHUMATOLOGIE LIBERALE,33126,2297,382777315.43,11555.192761878887,12153.256673307977,14946284,451.1949526052044
NEUROLOGIE LIBERALE,22100,1803,190896706.52,8637.8600235294125,8962.073944343892,5366563,242.83090497737558
RADIOLOGIE LIBERALE,37732,2832,303428937.46,8041.687094773667,9022.032558570974,8227796,218.05883600127214
GASTRO-ENTEROLOGIE ET HEPATOLOGIE LIBERALE,30869,2177,224218148.18,7263.537794551168,7930.488256503288,8647599,280.13861803103435
PNEUMOLOGIE LIBERALE,31022,1882,218447676.57,7041.70190735607,8525.945901295854,9048398,291.67681000580234
"PRESCRIPTEURS DE VILLE AUTRES QUE MEDECINS (Dentistes, Auxiliaires médicaux, Laboratoires, Sages-Femmes)",23138,1818,113540295.04,4907.092014867318,7559.711270637047,15972022,690.2939752787622
ENDOCRINOLOGIE ET METABOLISMES LIBERAL,33135,3136,158409894.93,4780.74226437302,5011.927027916101,9235596,278.7263014938886
PEDIATRIE LIBERALE,32595,2332,143331740.97,4397.353611596871,6574.064864549778,20025784,614.3820831415861
PATHOLOGIE CARDIO-VASCULAIRE LIBERALE,71822,4986,277745952.7,3867.143113530673,4204.187911364206,16978440,236.3960903344379
GYNECOLOGIE OBSTETRIQUE LIBERALE,42009,3628,145282934.25,3458.376401485396,4374.567006117737,20543539,489.02708943321676
DERMATOLOGIE ET VENEROLOGIE LIBERALE,38942,2269,128533703.77,3300.644645113245,5194.098778439731,13219750,339.47280571105745
CHIRURGIE LIBERALE,67578,3848,197069144.13,2916.1730760010655,3570.2936082748824,23524078,348.102607357424
PSYCHIATRIE LIBERALE,50815,3028,124728779.73,2454.5661660926894,2967.0536011020367,29340893,577.4061399193151
NEPHROLOGIE LIBERALE,12708,1666,29083649.21,2288.609475133774,2347.1402463015424,2974536,234.06798866855524
Inconnu,301395,12123,627241587.77,2081.128047147431,2228.370549776871,20791855,68.98540121767117
CHIRURGIE DENTAIRE,42381,2388,43355145.69,1022.985434274793,1911.5038458271395,33042641,779.6569453292749
OTO RHINO-LARYNGOLOGIE LIBERALE,36841,2299,22478465.16,610.1480730707635,1177.3939252463288,7433583,201.77473467061154
ANESTHESIOLOGIE - REANIMATION LIBERALE,15547,1487,8535860.35,549.0358493600052,761.4779738856371,1812189,116.56197337106838
MEDECINE PHYSIQUE ET DE READAPTATION LIBERALE,4664,583,1199321.75,257.1444575471698,372.9481303602058,507630,108.84005145797599
STOMATOLOGIE LIBERALE,15660,1005,3659863.03,233.70772860791826,430.60778927203063,2868740,183.18901660280972
DIRECTEUR LABORATOIRE MEDECIN LIBERAL,285,127,44349.770000000004,155.61322807017544,231.96649122807017,20394,71.5578947368421
CHIRURGIE DENTAIRE (SPECIALISTE O.D.F.),709,132,58961.48,83.16146685472496,236.07981664315938,96470,136.06488011283497
ANATOMIE-CYTOLOGIE-PATHOLOGIQUE LIBERALE,118,61,7620.2300000000005,64.57822033898306,117.20449152542373,4859,41.17796610169491
