prescripteur,nb_observations,nb_medicaments,remboursement_total,remboursement_moyen,base_remboursement_moyenne,boites_totales,boites_moyennes
PRESCRIPTEURS SALARIES,401099,10991,11768846098.78,29341.499477136567,31272.501951064452,426844938,1064.1884871316056
OPHTALMOLOGIE LIBERALE,42824,2813,782584314.4,18274.43289744069,20148.593872594807,41013088,957.7126844759946
MEDECINE GENERALE LIBERALE,475816,11169,7951453483.62,16711.19399856247,21007.092805033877,1607003659,3377.363642668594
MEDECINE INTERNE LIBERALE,24712,2769,309008928.72,12504.407928132081,12635.378551311103,4092093,165.59133214632567
RHUMATOLOGIE LIBERALE,34286,2318,398664038.24,11627.604218631512,12230.027315230707,14578275,425.1961441987983
RADIOLOGIE LIBERALE,39066,2855,321920114.28,8240.416584242052,9218.856181334153,8347894,213.68694005017147
NEUROLOGIE LIBERALE,23074,1858,179420877.93,7775.889656323135,8095.402354164861,5467564,236.95778798647828
GASTRO-ENTEROLOGIE ET HEPATOLOGIE LIBERALE,30970,2216,239911434.2,7746.575208266064,8413.070458831127,8464957,273.32763965127543
PNEUMOLOGIE LIBERALE,32856,1942,238347930.76,7254.319782079377,8789.1419898953,9436821,287.21758582907233
PATHOLOGIE CARDIO-VASCULAIRE LIBERALE,73559,5007,371021678.28,5043.865173262279,5412.934950176049,17762205,241.46882094645113
PEDIATRIE LIBERALE,34563,2375,166082479.06,4805.210168677488,7147.331676069785,19627107,567.864681885253
ENDOCRINOLOGIE ET METABOLISMES LIBERAL,35280,3204,166839370.14000002,4729.007090136054,4958.871595521542,9581221,271.57655895691613
"PRESCRIPTEURS DE VILLE AUTRES QUE MEDECINS (Dentistes, Auxiliaires médicaux, Laboratoires, Sages-Femmes)",34292,2386,134009350.55,3907.8896112795987,5923.528175959407,17854358,520.6566546133209
DERMATOLOGIE ET VENEROLOGIE LIBERALE,38525,2286,147764293.14000002,3835.5429757300453,5903.385593251136,12636387,328.00485399091497
GYNECOLOGIE OBSTETRIQUE LIBERALE,42389,3672,145193167.26,3425.255780037274,4312.728697303546,19778237,466.588902781382
CHIRURGIE LIBERALE,69919,3911,202617582.26,2897.890162330697,3544.50562236302,24648458,352.52875470186933
PSYCHIATRIE LIBERALE,54007,3084,130551218.5,2417.3018034699207,2932.5488731090413,30898577,572.1217064454607
Inconnu,308251,12063,670026178.19,2173.638295382659,2329.337151801616,21141447,68.58516922897249
NEPHROLOGIE LIBERALE,12700,1714,27430312.34,2159.867113385827,2221.384905511811,2771346,218.21622047244094
CHIRURGIE DENTAIRE,42823,2400,41486822.16,968.7976592018308,1815.3332468533265,31792005,742.4048992363915
OTO RHINO-LARYNGOLOGIE LIBERALE,37067,2317,32418984.96,874.6050384438989,1539.2044721720129,7278846,196.36997868724202
ANESTHESIOLOGIE - REANIMATION LIBERALE,17121,1795,9581128.94,559.6126943519654,772.107098884411,2011246,117.4724607207523
MEDECINE PHYSIQUE ET DE READAPTATION LIBERALE,4669,626,1184173.09,253.6245641464982,367.0626172627972,471788,101.04690511886913
STOMATOLOGIE LIBERALE,15202,946,3592820.22,236.33865412445732,433.6927601631364,2805029,184.51710301276148
DIRECTEUR LABORATOIRE MEDECIN LIBERAL,318,139,50113.82,157.59062893081762,238.4793396226415,21737,68.35534591194968
CHIRURGIE DENTAIRE (SPECIALISTE O.D.F.),692,124,67127.68,97.00531791907514,272.725838150289,112326,162.32080924855492
ANATOMIE-CYTOLOGIE-PATHOLOGIQUE LIBERALE,34,28,1979.8300000000002,58.23029411764706,93.61470588235294,1218,35.8235294117647
