cip13,lib_cip13,remboursement_total,boites_delivrees,cout_moyen_boite
3400933056223,"HELMINTOX 125 MG/2,5 ML SUSP BUV 1",176.6,160,1.10375
3400949947010,ESOMEPRAZOLE TVC 40MG GELULE 28,176.95,48,3.686458333333333
3400930079003,IRBESARTAN BGA 300MG CPR PELL 30,177.19,49,3.616122448979592
3400930317808,DILATRANE 50MG/5ML SIROP 1,177.4,123,1.4422764227642277
3400937583350,GLIMEPIRIDE ARW 4MG CPR 90,178.88000000000002,13,13.760000000000002
3400949002573,"BIPRETERAX 10MG/2,5MG CPR (AIP PLA) 90",179.28,13,13.79076923076923
3400937975889,SULPIRIDE ZEN 50MG GELULE 30,179.81,116,1.5500862068965517
3400938421361,VALACICLOVIR ARG 500MG CPR 10,180.31,34,5.3032352941176475
3400949008063,QVAR AUTOHALER 100MCG INH (AIP) (GR) 1,180.97,11,16.451818181818183
3400932242955,"TIMOPTOL 0,50 % COLLYRE FL 3ML 1",181.32999999999998,112,1.619017857142857
3400938987119,ACECLOFENAC EG 100MG CPR 30,181.91,76,2.3935526315789475
3400927442599,FLUARIXTETRA SUSP INJ SER VACCI 1,182.64,24,7.609999999999999
3400937227162,ATENOLOL EVO 100MG CPR 90,182.68,16,11.4175
3400949000791,COVERAM 5MG/5MG CPR (AIP) (PLA PL) 90,183.1,11,16.645454545454545
3400938504897,FENTANYL TVS 12MICROG/H DISP TRANSD 5,183.39000000000001,21,8.732857142857144
3400927734106,ESCITALOPRAM ZTL 10MG CPR 28,184.37,47,3.9227659574468086
3400941670916,ATORVASTATINE CRT 20MG CPR 90,184.39000000000001,16,11.524375000000001
3400922134673,ATORVASTATINE ARW 10MG CPR 30,185.27,51,3.6327450980392157
3400926713423,PERINDOPRIL ARL 4 MG CPR 30,187.31,57,3.286140350877193
3400932861033,FELDENE 20 MG SOL INJ IM 2,188.01,526,0.3574334600760456
3400930050538,LERCANIDIPINE BGA 10MG CPR 90,188.02,15,12.534666666666668
3400927517853,PRAVASTATINE ZEN 40MG CPR 84,189.3,18,10.516666666666667
3400937541596,"AMOX/AC CLAV GXK 100MG/12,5MG ENF 1",189.63,66,2.873181818181818
3400949879250,FOSFOPHARM AD 3G GRANULES SACHET 1,189.66000000000003,65,2.9178461538461544
3400939320984,CEFUROXIME TVC 500MG CPR 8,190.18,32,5.943125
3400936968417,LAMOTRIGINE SDZ 200MG CPR DISP 30,190.34,26,7.320769230769231
3400922376288,"LATANOPROST VTSG 0,005% COLLYRE 3",190.89000000000001,16,11.930625000000001
3400949500239,ZONEGRAN 25 MG GELULE 14,191.35000000000002,51,3.751960784313726
3400939333243,"LATANOPROST ARW 0,005% COLLYRE 3",191.39000000000001,16,11.961875000000001
3400927896873,HYDROXYZINE SDZ 25MG CPR 30,191.47,143,1.338951048951049
3400930034521,DULOXETINE TVS 30 MG GELULE 28,191.54000000000002,51,3.7556862745098045
3400927838163,LOLISTREL GE 100MCG/20MCG CPR 21,191.57,182,1.0525824175824174
3400933221416,VASTEN 20 MG CPR 28,191.62,54,3.5485185185185184
3400930019276,PREGABALINE SDG 50 MG GELULE 84,192.17,19,10.114210526315789
3400949144587,GLICLAZIDE ARW LM 30MG CPR 30,192.52,51,3.7749019607843137
3400937019095,PRAVASTATINE BGA 40MG CPR 28,192.64,50,3.8528
3400934897054,GLIPIZIDE MYL 5MG CPR 30,193.03,96,2.0107291666666667
3400937394444,METFORMINE ARW 1000MG CPR 90,193.68,51,3.7976470588235296
3400939815824,OMEPRAZOLE EVO 20MG GELULE 14,193.86,144,1.3462500000000002
3400935439079,CETIRIZINE CRT 10MG CPR 15,195.26,230,0.8489565217391304
3400936064188,"PENTAVAC 1 BOITE DE 1, VACCIN DIPHTERIQUE, TETANIQ",199.95000000000002,13,15.380769230769232
3400935307095,FLANID 100MG CPR 30,200.84,162,1.239753086419753
3400930078198,AMLODIPINE/VALSART TVC 5MG/80MG CPR 90,201.49,14,14.392142857142858
3400936282421,OMEPRAZOLE VIATRIS 20MG GELULE 7,201.73999999999998,262,0.7699999999999999
3400935149176,CAPTOPRIL SDZ 25MG CPR 30,201.84,67,3.0125373134328357
3400938217667,RISPERIDONE ARW 2MG CPR 60,202.43,15,13.495333333333333
3400937086790,ALENDRONIQUE ACIDE ARW 70MG CPR 12,202.68,11,18.425454545454546
3400935265012,"ROZEX 0,75% EMULSION 1",204.54,135,1.515111111111111
3400949144709,GLICLAZIDE ARW LM 30MG CPR 60,204.98000000000002,31,6.61225806451613
3400930035559,ATORVASTATINE ARG 80 MG CPR 30,205.21,48,4.2752083333333335
3400930218174,DULOXETINE ZEN 30 MG GELULE 7,205.42000000000002,191,1.0754973821989529
3400941720925,"ZOLMITRIPTAN ZEN 2,5MG CPR 6",205.84,43,4.786976744186046
3400932874798,TENSTATEN 50MG GELULE 30,206.07,34,6.060882352941176
3400934502125,CEFADROXIL MYL 500MG GELULE 12,207.69,60,3.4615
3400936299399,GLUCOSE LAV 5% SOL INJ AB 20ML 10,208.89,39,5.356153846153846
3400939792200,CLOPIDOGREL SDZ 75MG CPR 30,209.79,27,7.77
3400936180314,DOMPERIDONE BGA 10 MG CPR 40,209.96,219,0.9587214611872147
3400930250006,LACOSAMIDE ZYD 50 MG CPR 56,211.79,16,13.236875
3400930040294,PREGABALINE ARL 25 MG GELULE 56,211.96,53,3.999245283018868
3400949003181,INEGY 10MG/40MG CPR (AIP)(BBF) 30,212.28,15,14.152
3400930066423,LANSOPRAZOLE ARW 30 MG CPR OROD 28,212.51000000000002,63,3.3731746031746033
