prescripteur,nb_observations,nb_medicaments,remboursement_total,remboursement_moyen,base_remboursement_moyenne,boites_totales,boites_moyennes
PRESCRIPTEURS SALARIES,406189,10998,12821152279.8,31564.49898889433,33676.48029205616,457022390,1125.1471359391815
OPHTALMOLOGIE LIBERALE,43123,2837,782234572.57,18139.613954734134,19996.408565730584,40369299,936.143102288802
MEDECINE GENERALE LIBERALE,468102,11040,8222698976.49,17566.041111744875,22038.947080294467,1595757532,3408.9953300776306
MEDECINE INTERNE LIBERALE,25619,2845,342768877.91,13379.479211132362,13517.501844334283,4433222,173.0443030563254
RHUMATOLOGIE LIBERALE,32794,2260,424309014.56,12938.617264133683,13574.665217112886,14269418,435.12282734646584
GASTRO-ENTEROLOGIE ET HEPATOLOGIE LIBERALE,30050,2209,252554905.3,8404.489361064892,9071.072949750416,8149942,271.21271214642263
PNEUMOLOGIE LIBERALE,32868,1904,267762661.62,8146.606474990873,9857.936503285871,9916293,301.7005293902884
RADIOLOGIE LIBERALE,35245,2769,276863778.1,7855.405819265144,8246.983703504044,6298406,178.70353241594552
NEUROLOGIE LIBERALE,23617,1845,179573678.06,7603.577002159462,7910.176649024008,5655323,239.45983825210655
PATHOLOGIE CARDIO-VASCULAIRE LIBERALE,72836,4961,462409311.93,6348.636826981163,6739.1227693722885,18282545,251.00973419737494
PEDIATRIE LIBERALE,34395,2327,180716837.77,5254.160132868149,8305.144988225033,19821748,576.2973688036052
DERMATOLOGIE ET VENEROLOGIE LIBERALE,38663,2342,198737082.99,5140.239582805266,7692.115048495978,12258473,317.0595401288053
ENDOCRINOLOGIE ET METABOLISMES LIBERAL,35419,3191,169569581.37,4787.531589542336,5010.603089867021,9766721,275.74807306812727
GYNECOLOGIE OBSTETRIQUE LIBERALE,40462,3496,146256825.92,3614.671195689783,4512.0942995897385,18975987,468.98292224803515
CHIRURGIE LIBERALE,67849,3778,218910317.9,3226.433962180725,3904.0442482571593,24934939,367.50635971053373
"PRESCRIPTEURS DE VILLE AUTRES QUE MEDECINS (Dentistes, Auxiliaires médicaux, Laboratoires, Sages-Femmes)",42605,2912,128389763.41,3013.490515432461,4394.559979110433,20272658,475.82814223682664
PSYCHIATRIE LIBERALE,54451,3102,139931469.35,2569.8604130319004,3119.8145484931406,32903936,604.2852472865512
Inconnu,306876,12037,692100432.32,2255.3097417849553,2421.0882065720357,21253309,69.25699305256846
NEPHROLOGIE LIBERALE,13007,1700,28413888,2184.507419082033,2246.994090105328,2912399,223.91012531713693
OTO RHINO-LARYNGOLOGIE LIBERALE,35577,2219,41051170.33,1153.868238749754,1950.2272240492453,7164005,201.36619164066673
CHIRURGIE DENTAIRE,40869,2301,41614701.14,1018.2461312975605,1905.8496679634932,32273059,789.6708752355086
ANESTHESIOLOGIE - REANIMATION LIBERALE,16134,1621,8992074.89,557.3369833891162,773.3417999256229,1914817,118.68209991322672
MEDECINE PHYSIQUE ET DE READAPTATION LIBERALE,4526,617,1142988.61,252.53835837384003,367.88853071144496,460378,101.71851524524966
STOMATOLOGIE LIBERALE,14447,882,3554723.01,246.05267598809442,447.47915414965047,2758694,190.9527237488752
DIRECTEUR LABORATOIRE MEDECIN LIBERAL,385,157,77942.7,202.44857142857143,287.6728051948052,24554,63.77662337662338
CHIRURGIE DENTAIRE (SPECIALISTE O.D.F.),695,115,68330.42,98.31715107913669,278.20228776978416,112972,162.5496402877698
ANATOMIE-CYTOLOGIE-PATHOLOGIQUE LIBERALE,27,25,1921.15,71.1537037037037,105.14259259259259,868,32.148148148148145
