tranche_age,sexe,nb_observations,remboursement_total,remboursement_moyen,base_remboursement_moyenne,boites_totales,boites_moyennes
20 - 59 ANS,Inconnu,243,4295208.93,17675.756913580248,17821.61901234568,22247,91.55144032921811
60 ANS ET +,MASCULIN,403817,6908183958.38,17107.21430345924,18834.207983715394,558955112,1384.1792495115358
60 ANS ET +,Inconnu,298,4393327.33,14742.709161073826,14850.741510067113,16121,54.09731543624161
60 ANS ET +,FEMININ,427732,6133347716.87,14339.230445395715,16334.186913791813,755669765,1766.6898081041393
20 - 59 ANS,MASCULIN,347173,3887193208.45,11196.703685050394,12902.527779003552,354288799,1020.4964066906124
20 - 59 ANS,FEMININ,417261,4194030276.03,10051.335437603802,11953.518422426252,509382695,1220.7771514711412
Inconnu,Inconnu,2328,22055753.17,9474.12077749141,9798.176537800688,353473,151.83548109965636
0-19 ANS,Inconnu,559,4387021.61,7847.981413237925,8195.877763864042,22976,41.10196779964222
0-19 ANS,MASCULIN,125663,808551472.07,6434.284332460629,8273.567650382372,92868463,739.0279000183031
0-19 ANS,FEMININ,140836,700352796.46,4972.82510480275,6615.218119727911,95127250,675.4469737851117
Inconnu,FEMININ,3767,7883765.35,2092.84984072206,2170.2760445978233,407593,108.20095566764003
Inconnu,MASCULIN,3681,7666386.75,2082.6913202933983,2158.268799239337,398114,108.1537625645205
