indicateur,valeur
Nombre de médicaments,12646
Nombre de classes ATC1,14
Nombre de régions,14
Nombre de spécialités médicales,27
Nombre total de boîtes,2367963887
Montant total remboursé (€),26031858107.62
Base totale de remboursement (€),29719670484.71
